=== JOY OVERRIDE START INJECTION TEST ===
Rom: zelda_v540
Start injection frame: 900
Max frames: 2000

Frame | Script | Sub | PPULoad | Slot | PPUCtrl | PPUMask | VRAMAddr | Ready | Notes
 680 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 690 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 700 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 710 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 720 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 730 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 740 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 750 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 760 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 770 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 780 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 790 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 800 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 810 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 820 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 830 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 840 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 850 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 860 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 870 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 880 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
 890 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | 
*** FRAME 900: INJECTED START BUTTON VIA 0xFFEE90/0xFFEE91

 900 |      0 |   0 |       0 |    0 | 0xB0 | 0x1E | 0x0303 |     0 | [START INJECTED]
 901 |      0 |   1 |      18 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 902 |      0 |   1 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 903 |      0 |   1 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 904 |      0 |   1 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 905 |      0 |   1 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 906 |      0 |   1 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 907 |      0 |   1 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 908 |      0 |   1 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 909 |      0 |   2 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 910 |      0 |   2 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 911 |      0 |   2 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 912 |      0 |   2 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 913 |      1 |   0 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 914 |      1 |   0 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 915 |      1 |   0 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 916 |      1 |   0 |       0 |    0 | 0xB0 | 0x00 | 0x0303 |     0 | 
 917 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2000 |     0 | [GAME RUNNING]
 918 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2000 |     0 | [GAME RUNNING]
 919 |      1 |   2 |      18 |    0 | 0xB0 | 0x00 | 0x2000 |     0 | [GAME RUNNING]
