frame,pc,value,d0_plane_addr,d4_nt_addr,nt_page,nt_row,nt_col,ppuctrl,shadow_tile,tile_base,attr_addr,attr_byte,attr_shift,palette_bits,expected_plane_addr,expected_tileword,matches_renderer
54,000ECE,0024,0000C000,00000000,00,00,00,80,24,0024,03C0,24,0,00,C000,0024,1
54,000ECE,0024,0000C002,00000001,00,00,01,80,24,0024,03C0,24,0,00,C002,0024,1
54,000ECE,2024,0000C004,00000002,00,00,02,80,24,0024,03C0,24,2,01,C004,2024,1
54,000ECE,2024,0000C006,00000003,00,00,03,80,24,0024,03C0,24,2,01,C006,2024,1
54,000ECE,0024,0000C008,00000004,00,00,04,80,24,0024,03C1,24,0,00,C008,0024,1
54,000ECE,0024,0000C00A,00000005,00,00,05,80,24,0024,03C1,24,0,00,C00A,0024,1
54,000ECE,2024,0000C00C,00000006,00,00,06,80,24,0024,03C1,24,2,01,C00C,2024,1
54,000ECE,2024,0000C00E,00000007,00,00,07,80,24,0024,03C1,24,2,01,C00E,2024,1
54,000ECE,0024,0000C010,00000008,00,00,08,80,24,0024,03C2,24,0,00,C010,0024,1
54,000ECE,0024,0000C012,00000009,00,00,09,80,24,0024,03C2,24,0,00,C012,0024,1
54,000ECE,2024,0000C014,0000000A,00,00,0A,80,24,0024,03C2,24,2,01,C014,2024,1
54,000ECE,2024,0000C016,0000000B,00,00,0B,80,24,0024,03C2,24,2,01,C016,2024,1
54,000ECE,0024,0000C018,0000000C,00,00,0C,80,24,0024,03C3,24,0,00,C018,0024,1
54,000ECE,0024,0000C01A,0000000D,00,00,0D,80,24,0024,03C3,24,0,00,C01A,0024,1
54,000ECE,2024,0000C01C,0000000E,00,00,0E,80,24,0024,03C3,24,2,01,C01C,2024,1
54,000ECE,2024,0000C01E,0000000F,00,00,0F,80,24,0024,03C3,24,2,01,C01E,2024,1
54,000ECE,0024,0000C020,00000010,00,00,10,80,24,0024,03C4,24,0,00,C020,0024,1
54,000ECE,0024,0000C022,00000011,00,00,11,80,24,0024,03C4,24,0,00,C022,0024,1
54,000ECE,2024,0000C024,00000012,00,00,12,80,24,0024,03C4,24,2,01,C024,2024,1
54,000ECE,2024,0000C026,00000013,00,00,13,80,24,0024,03C4,24,2,01,C026,2024,1
54,000ECE,0024,0000C028,00000014,00,00,14,80,24,0024,03C5,24,0,00,C028,0024,1
