=== SCRIPT3+ DIAGNOSTICS zelda_v378 ===
Addresses: ready=FF0011 script=FF0012 sub=FF0013 ppu_idx=FF0014 007C=FF007C timer=FF0028
Handler: ready=0 -> PRIMARY; ready!=0 -> SECONDARY

Frame | Scr | Sub | Ready | PpuIdx | 007C | 007D | Rendr | Timer | Notes
------------------------------------------------------------------------------------------
  300 |   0 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | heartbeat
  490 |   0 |   1 |     1 | 0x12   |    0 |    0 |     0 |     0 | SUB 0->1
  501 |   0 |   2 |     1 | 0x00   |    0 |    0 |     0 |     0 | SUB 1->2
  505 |   1 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | SCRIPT 0->1; SUB 2->0
  508 |   1 |   2 |     0 | 0x12   |    0 |    0 |     0 |     0 | SUB 0->2
  600 |   1 |   2 |     0 | 0x12   |    0 |    0 |     0 |     0 | heartbeat
  876 |   1 |   3 |     0 | 0x14   |    0 |    0 |     0 |     0 | SUB 2->3
  878 |   1 |   5 |     0 | 0x00   |    0 |    0 |     0 |     0 | SUB 3->5
  879 |   1 |   6 |     0 | 0x00   |    0 |    0 |     0 |     0 | SUB 5->6
  880 |   1 |   0 |     1 | 0x00   |    0 |    0 |     0 |     0 | SUB 6->0
  881 |   1 |   1 |     1 | 0x00   |    0 |    0 |     0 |     0 | SUB 0->1
  886 |   2 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | SCRIPT 1->2; SUB 1->0
  887 |   2 |   1 |     0 | 0x00   |    0 |    0 |     0 |     0 | SUB 0->1
  888 |   2 |   0 |     1 | 0x00   |    0 |    0 |     0 |     0 | SUB 1->0
  889 |   3 |   0 |     0 | 0x00   |    0 |    0 |     0 |     0 | SCRIPT 2->3; READY 1->0
  890 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | SUB 0->1; RENDER 0->1
  948 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1008 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1068 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1128 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1188 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1248 |   3 |   1 |     0 | 0x00   |    0 |    0 |     1 |     0 | heartbeat
 1258 |   3 |   2 |     0 | 0x18   |    0 |    0 |     1 |     0 | SUB 1->2; PPU_IDX 0x00->0x18
 1259 |   3 |   3 |     0 | 0x18   |    0 |    0 |     1 |     0 | SUB 2->3
 1260 |   3 |   4 |     0 | 0x00   |    0 |    0 |     1 |     0 | SUB 3->4; PPU_IDX 0x18->0x00
 1261 |   3 |   5 |     0 | 0x00   |    0 |    0 |     1 |     0 | SUB 4->5
 1262 |   3 |   6 |     0 | 0x0E   |    0 |    0 |     1 |     0 | SUB 5->6; PPU_IDX 0x00->0x0E
 1263 |   3 |   7 |     0 | 0x44   |    0 |    0 |     1 |     0 | SUB 6->7; PPU_IDX 0x0E->0x44
 1264 |   3 |   8 |     0 | 0x00   |    0 |    0 |     1 |     0 | SUB 7->8; PPU_IDX 0x44->0x00
 1265 |   3 |   0 |     1 | 0x00   |   16 |   17 |     0 |     0 | SUB 8->0; READY 0->1; 007C 0->16; RENDER 1->0
 1266 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     5 | 007C 16->15
 1271 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     4 | 
 1272 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     3 | 
 1273 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 
 1274 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     1 | 
 1275 |   3 |   0 |     1 | 0x00   |   14 |   19 |     0 |     5 | 007C 15->14
 1276 |   3 |   0 |     1 | 0x00   |   14 |   19 |     0 |     4 | 
 1277 |   3 |   0 |     1 | 0x00   |   14 |   19 |     0 |     3 | 
 1278 |   3 |   0 |     1 | 0x00   |   14 |   19 |     0 |     2 | 
 1279 |   3 |   0 |     1 | 0x00   |   14 |   19 |     0 |     1 | 
 1280 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     5 | 007C 14->13
 1281 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     4 | 
 1282 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     3 | 
 1283 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     2 | 
 1284 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     1 | 
 1285 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     5 | 007C 13->12
 1286 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     4 | 
 1287 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     3 | 
 1288 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     2 | 
 1289 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     1 | 
 1290 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     5 | 007C 12->11
 1291 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     4 | 
 1292 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     3 | 
 1293 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     2 | 
 1294 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     1 | 
 1295 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     5 | 007C 11->10
 1296 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     4 | 
 1297 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     3 | 
 1298 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     2 | 
 1299 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     1 | 
 1300 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     5 | 007C 10->9
 1301 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     4 | 
 1302 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     3 | 
 1303 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     2 | 
 1304 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     1 | 
 1305 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     5 | 007C 9->8
 1306 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     4 | 
 1307 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     3 | 
 1308 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     2 | heartbeat
 1309 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     1 | 
 1310 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     5 | 007C 8->7
 1311 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     4 | 
 1312 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     3 | 
 1313 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     2 | 
 1314 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     1 | 
 1315 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     5 | 007C 7->6
 1316 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     4 | 
 1317 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     3 | 
 1318 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     2 | 
 1319 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     1 | 
 1320 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     5 | 007C 6->5
 1321 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     4 | 
 1322 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     3 | 
 1323 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     2 | 
 1324 |   3 |   0 |     1 | 0x00   |    5 |   28 |     0 |     1 | 
 1325 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     5 | 007C 5->4
 1326 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     4 | 
 1327 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     3 | 
 1328 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     2 | 
 1329 |   3 |   0 |     1 | 0x00   |    4 |   29 |     0 |     1 | 
 1330 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     5 | 007C 4->3
 1331 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     4 | 
 1332 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     3 | 
 1333 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     2 | 
 1334 |   3 |   0 |     1 | 0x00   |    3 |   30 |     0 |     1 | 
 1335 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     5 | 007C 3->2
 1336 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     4 | 
 1337 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     3 | 
 1338 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     2 | 
 1339 |   3 |   0 |     1 | 0x00   |    2 |   31 |     0 |     1 | 
 1340 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     5 | 007C 2->1
 1341 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     4 | 
 1342 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     3 | 
 1343 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     2 | 
 1344 |   3 |   0 |     1 | 0x00   |    1 |   32 |     0 |     1 | 
 1345 |   4 |   0 |     0 | 0x00   |    0 |   33 |     0 |     5 | SCRIPT 3->4; READY 1->0; 007C 1->0
 1346 |   4 |   0 |     1 | 0x00   |    0 |   33 |     0 |     4 | READY 0->1
 1347 |   5 |   0 |     0 | 0x00   |    0 |   33 |     0 |     3 | SCRIPT 4->5; READY 1->0

*** GAMEPLAY REACHED frame=1347 script=5 sub=0 ***

=== SUMMARY ===
