frame,pc,trace_last,trace_seq,addr,tile_index,byte_in_tile,value,vram_addr_curr,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,d0,d1,d2,d3,d4,a0,a1
12,000636,0000,0000,FFCE30,00E3,0,00,0000,00,00,00,00,00,00,00,00000473,60000000,00000000,00000000,FFFFFFFFC01E0000,0001F47A,00FFCE34
12,000636,0000,0000,FFCE34,00E3,4,00,0000,00,00,00,00,00,00,00,00000472,60000000,00000000,00000000,FFFFFFFFC01E0000,0001F47E,00FFCE38
12,000636,0000,0000,FFCE38,00E3,8,F7F7F7FF,0000,00,00,00,00,00,00,00,00000471,60000000,00000000,00000000,FFFFFFFFC01E0000,0001F482,00FFCE3C
12,000636,0000,0000,FFCE3C,00E3,12,FFFFFFDC,0000,00,00,00,00,00,00,00,00000470,60000000,00000000,00000000,FFFFFFFFC01E0000,0001F486,00FFCE40
125,000C86,0403,0258,FFCE24,00E2,4,0E,0E24,00,FF,00,20,36,0F,00,0000040E,00000034,0000000E,00000E24,00010E24,00FFC000,000184EC
125,000C86,0403,0258,FFCE25,00E2,5,1B,0E25,00,FF,00,20,36,0F,00,0000041B,00000033,0000000E,00000E25,00010E25,00FFC000,000184ED
125,000C86,0403,0258,FFCE26,00E2,6,63,0E26,00,FF,00,20,36,0F,00,00000463,00000032,0000000E,00000E26,00010E26,00FFC000,000184EE
125,000C86,0403,0258,FFCE27,00E2,7,24,0E27,00,FF,00,20,36,0F,00,00000424,00000031,0000000E,00000E27,00010E27,00FFC000,000184EF
125,000C86,0403,0258,FFCE28,00E2,8,24,0E28,00,FF,00,20,36,0F,00,00000424,00000030,0000000E,00000E28,00010E28,00FFC000,000184F0
125,000C86,0403,0258,FFCE29,00E2,9,24,0E29,00,FF,00,20,36,0F,00,00000424,0000002F,0000000E,00000E29,00010E29,00FFC000,000184F1
125,000C86,0403,0258,FFCE2A,00E2,10,E3,0E2A,00,FF,00,20,36,0F,00,000004E3,0000002E,0000000E,00000E2A,00010E2A,00FFC000,000184F2
125,000C86,0403,0258,FFCE2B,00E2,11,24,0E2B,00,FF,00,20,36,0F,00,00000424,0000002D,0000000E,00000E2B,00010E2B,00FFC000,000184F3
125,000C86,0403,0258,FFCE2C,00E2,12,24,0E2C,00,FF,00,20,36,0F,00,00000424,0000002C,0000000E,00000E2C,00010E2C,00FFC000,000184F4
125,000C86,0403,0258,FFCE2D,00E2,13,23,0E2D,00,FF,00,20,36,0F,00,00000423,0000002B,0000000E,00000E2D,00010E2D,00FFC000,000184F5
125,000C86,0403,0258,FFCE2E,00E2,14,80,0E2E,00,FF,00,20,36,0F,00,00000480,0000002A,0000000E,00000E2E,00010E2E,00FFC000,000184F6
125,000C86,0403,0258,FFCE2F,00E2,15,20,0E2F,00,FF,00,20,36,0F,00,00000420,00000029,0000000E,00000E2F,00010E2F,00FFC000,000184F7
