frame,system,rom_label,pc,ram_0000_t49,ram_0002_t17,ram_0003_t18,ram_0004_t18,game_mode,screen_ready,ram_script,ram_subscript,ppu_load_index,ram_frm_cnt,cur_save_slot,rendering_flag,ram_004D,ram_next_script,ram_005C,se_ptr_lo,se_ptr_hi,ram_006C_se,ram_00F6,btn_press,btn_hold,scroll_y,scroll_x,ram_for_2001,ram_for_2000,ram_0415,ram_041A,ram_041F,ram_0421,ram_0423,spr_index_1,spr_index_2,ram_042D,ram_042E,ram_0528,ram_05F1,ram_05F4,ram_05F5,ram_music,ram_music_busy,ram_060A,ram_060B,ram_060C,ram_060D,ram_0611,ram_0612,ram_0613,ram_0616,ram_0617,ram_0619,ram_061B,ppu_buf_status,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,ppu_buf_6,ppu_buf_7,trace_last,trace_seq,PPU_REQ_INDEX,PPU_REQ_PTR,PPU_REQ_RES,SEQ_EVT_COUNT,PPU_EVT_COUNT
10,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,54,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1802,0000,0302,00000000,0700,0000
11,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,55,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1815,0000,0302,00000000,0700,0000
12,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,56,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1828,0000,0302,00000000,0700,0000
13,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,57,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,183B,0000,0302,00000000,0700,0000
14,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,58,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,184E,0000,0302,00000000,0700,0000
15,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,59,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1861,0000,0302,00000000,0700,0000
16,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,5A,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1874,0000,0302,00000000,0700,0000
17,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,5B,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1887,0000,0302,00000000,0700,0000
18,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,5C,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,189A,0000,0302,00000000,0700,0000
19,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,5D,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,18AD,0000,0302,00000000,0700,0000
20,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,5E,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,18C0,0000,0302,00000000,0700,0000
21,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,5F,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,18D3,0000,0302,00000000,0700,0000
22,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,60,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,18E6,0000,0302,00000000,0700,0000
23,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,61,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,18F9,0000,0302,00000000,0700,0000
24,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,62,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,190C,0000,0302,00000000,0700,0000
25,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,63,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,191F,0000,0302,00000000,0700,0000
26,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,64,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1932,0000,0302,00000000,0700,0000
27,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,65,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1945,0000,0302,00000000,0700,0000
28,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,66,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1958,0000,0302,00000000,0700,0000
29,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,67,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,196B,0000,0302,00000000,0700,0000
30,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,68,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,197E,0000,0302,00000000,0700,0000
31,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,69,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1991,0000,0302,00000000,0700,0000
32,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,6A,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,19A4,0000,0302,00000000,0700,0000
33,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,6B,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,19B7,0000,0302,00000000,0700,0000
34,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,6C,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,19CA,0000,0302,00000000,0700,0000
35,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,6D,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,19DD,0000,0302,00000000,0700,0000
36,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,6E,00,00,00,00,00,8B,94,1A,A5,00,FF,00,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,19F0,0000,0302,00000000,0700,0000
37,genesis,current_genesis,000F34,00,FF,01,01,00,01,00,00,00,6F,00,00,00,00,00,8B,94,1A,A5,00,FF,01,00,1E,B2,00,00,01,B2,C0,00,00,00,00,00,01,20,4F,00,00,01,1E,3C,50,F8,1F,10,10,10,80,01,3F,00,FF,00,20,23,13,80,00,FF,0203,1A03,0000,0302,00000000,0700,0000
