frame,pc,trace_last,trace_seq,addr,tile,byte_in_tile,value,vram_addr,ppu_index,ppu_ptr_raw,ppu_ptr_res,d0,d1,d2,d3,d4,a0,a1
3,0003CC,0000,0000,FFC080,008,0,00,0000,0000,0000,00000000,00000BDF,00000000,00000000,00000000,00000000,00FFC084,00000000
3,0003CC,0000,0000,FFC084,008,4,00,0000,0000,0000,00000000,00000BDE,00000000,00000000,00000000,00000000,00FFC088,00000000
3,0003CC,0000,0000,FFC088,008,8,00,0000,0000,0000,00000000,00000BDD,00000000,00000000,00000000,00000000,00FFC08C,00000000
3,0003CC,0000,0000,FFC08C,008,12,00,0000,0000,0000,00000000,00000BDC,00000000,00000000,00000000,00000000,00FFC090,00000000
3,0003CC,0000,0000,FFC0A0,00A,0,00,0000,0000,0000,00000000,00000BD7,00000000,00000000,00000000,00000000,00FFC0A4,00000000
3,0003CC,0000,0000,FFC0A4,00A,4,00,0000,0000,0000,00000000,00000BD6,00000000,00000000,00000000,00000000,00FFC0A8,00000000
3,0003CC,0000,0000,FFC0A8,00A,8,00,0000,0000,0000,00000000,00000BD5,00000000,00000000,00000000,00000000,00FFC0AC,00000000
3,0003CC,0000,0000,FFC0AC,00A,12,00,0000,0000,0000,00000000,00000BD4,00000000,00000000,00000000,00000000,00FFC0B0,00000000
3,0003CC,0000,0000,FFC250,025,0,00,0000,0000,0000,00000000,00000B6B,00000000,00000000,00000000,00000000,00FFC254,00000000
3,0003CC,0000,0000,FFC254,025,4,00,0000,0000,0000,00000000,00000B6A,00000000,00000000,00000000,00000000,00FFC258,00000000
3,0003CC,0000,0000,FFC258,025,8,00,0000,0000,0000,00000000,00000B69,00000000,00000000,00000000,00000000,00FFC25C,00000000
3,0003CC,0000,0000,FFC25C,025,12,00,0000,0000,0000,00000000,00000B68,00000000,00000000,00000000,00000000,00FFC260,00000000
9,000B70,0000,0000,FFC080,008,0,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC084,00000000
9,000B70,0000,0000,FFC084,008,4,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC088,00000000
9,000B70,0000,0000,FFC088,008,8,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC08C,00000000
9,000B70,0000,0000,FFC08C,008,12,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC090,00000000
9,000B70,0000,0000,FFC0A0,00A,0,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC0A4,00000000
9,000B70,0000,0000,FFC0A4,00A,4,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC0A8,00000000
9,000B70,0000,0000,FFC0A8,00A,8,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC0AC,00000000
9,000B70,0000,0000,FFC0AC,00A,12,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC0B0,00000000
9,000B70,0000,0000,FFC250,025,0,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC254,00000000
9,000B70,0000,0000,FFC254,025,4,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC258,00000000
9,000B70,0000,0000,FFC258,025,8,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC25C,00000000
9,000B70,0000,0000,FFC25C,025,12,00,0000,0000,0000,00000000,00000000,600000A0,00000000,00000000,FFFFFFFFC01E0000,00FFC260,00000000
12,00064E,0000,0000,FFC080,008,0,70F0F0F,0000,0000,0000,00000000,000007DF,600000A0,00000000,00000000,FFFFFFFFC01E0000,00026626,00FFC084
12,00064E,0000,0000,FFC084,008,4,A0A2039,0000,0000,0000,00000000,000007DE,600000A0,00000000,00000000,FFFFFFFFC01E0000,0002662A,00FFC088
12,00064E,0000,0000,FFC088,008,8,272F,0000,0000,0000,00000000,000007DD,600000A0,00000000,00000000,FFFFFFFFC01E0000,0002662E,00FFC08C
12,00064E,0000,0000,FFC08C,008,12,3D3F3F37,0000,0000,0000,00000000,000007DC,600000A0,00000000,00000000,FFFFFFFFC01E0000,00026632,00FFC090
12,00064E,0000,0000,FFC0A0,00A,0,E0F0F0F0,0000,0000,0000,00000000,000007D7,600000A0,00000000,00000000,FFFFFFFFC01E0000,00026646,00FFC0A4
12,00064E,0000,0000,FFC0A4,00A,4,5050049C,0000,0000,0000,00000000,000007D6,600000A0,00000000,00000000,FFFFFFFFC01E0000,0002664A,00FFC0A8
12,00064E,0000,0000,FFC0A8,00A,8,E4F4,0000,0000,0000,00000000,000007D5,600000A0,00000000,00000000,FFFFFFFFC01E0000,0002664E,00FFC0AC
12,00064E,0000,0000,FFC0AC,00A,12,BCFCFCE4,0000,0000,0000,00000000,000007D4,600000A0,00000000,00000000,FFFFFFFFC01E0000,00026652,00FFC0B0
12,00064E,0000,0000,FFC250,025,0,10101010,0000,0000,0000,00000000,0000076B,600000A0,00000000,00000000,FFFFFFFFC01E0000,000267F6,00FFC254
12,00064E,0000,0000,FFC254,025,4,101010,0000,0000,0000,00000000,0000076A,600000A0,00000000,00000000,FFFFFFFFC01E0000,000267FA,00FFC258
12,00064E,0000,0000,FFC258,025,8,1C141C1C,0000,0000,0000,00000000,00000769,600000A0,00000000,00000000,FFFFFFFFC01E0000,000267FE,00FFC25C
12,00064E,0000,0000,FFC25C,025,12,81C141C,0000,0000,0000,00000000,00000768,600000A0,00000000,00000000,FFFFFFFFC01E0000,00026802,00FFC260
13,000C9E,0403,002B,FFC080,008,0,00,0080,0000,0302,00000000,00000400,00000001,00000000,00000080,FFFFFFFFC0000080,00FFC000,00000302
13,000C9E,0403,002B,FFC081,008,1,00,0081,0000,0302,00000000,00000400,00000001,00000000,00000081,FFFFFFFFC0000081,00FFC000,00000302
13,000C9E,0403,002B,FFC082,008,2,00,0082,0000,0302,00000000,00000400,00000001,00000000,00000082,FFFFFFFFC0000082,00FFC000,00000302
13,000C9E,0403,002B,FFC083,008,3,00,0083,0000,0302,00000000,00000400,00000001,00000000,00000083,FFFFFFFFC0000083,00FFC000,00000302
13,000C9E,0403,002B,FFC084,008,4,00,0084,0000,0302,00000000,00000400,00000001,00000000,00000084,FFFFFFFFC0000084,00FFC000,00000302
13,000C9E,0403,002B,FFC085,008,5,00,0085,0000,0302,00000000,00000400,00000001,00000000,00000085,FFFFFFFFC0000085,00FFC000,00000302
13,000C9E,0403,002B,FFC086,008,6,00,0086,0000,0302,00000000,00000400,00000001,00000000,00000086,FFFFFFFFC0000086,00FFC000,00000302
13,000C9E,0403,002B,FFC087,008,7,00,0087,0000,0302,00000000,00000400,00000001,00000000,00000087,FFFFFFFFC0000087,00FFC000,00000302
13,000C9E,0403,002B,FFC088,008,8,00,0088,0000,0302,00000000,00000400,00000001,00000000,00000088,FFFFFFFFC0000088,00FFC000,00000302
13,000C9E,0403,002B,FFC089,008,9,00,0089,0000,0302,00000000,00000400,00000001,00000000,00000089,FFFFFFFFC0000089,00FFC000,00000302
13,000C9E,0403,002B,FFC08A,008,10,00,008A,0000,0302,00000000,00000400,00000001,00000000,0000008A,FFFFFFFFC000008A,00FFC000,00000302
13,000C9E,0403,002B,FFC08B,008,11,00,008B,0000,0302,00000000,00000400,00000001,00000000,0000008B,FFFFFFFFC000008B,00FFC000,00000302
13,000C9E,0403,002B,FFC08C,008,12,00,008C,0000,0302,00000000,00000400,00000001,00000000,0000008C,FFFFFFFFC000008C,00FFC000,00000302
13,000C9E,0403,002B,FFC08D,008,13,00,008D,0000,0302,00000000,00000400,00000001,00000000,0000008D,FFFFFFFFC000008D,00FFC000,00000302
13,000C9E,0403,002B,FFC08E,008,14,00,008E,0000,0302,00000000,00000400,00000001,00000000,0000008E,FFFFFFFFC000008E,00FFC000,00000302
13,000C9E,0403,002B,FFC08F,008,15,00,008F,0000,0302,00000000,00000400,00000001,00000000,0000008F,FFFFFFFFC000008F,00FFC000,00000302
14,000C9E,0403,002B,FFC0A0,00A,0,00,00A0,0000,0302,00000000,00000400,00000001,00000000,000000A0,FFFFFFFFC00000A0,00FFC000,00000302
