frame,addr,value,pc,trace_last,trace_seq,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,screen_ready,ram_script,ram_subscript,ppu_load_index,d0,d1,d2,d3,a0,a1,a2,a7,sr
12,FF0302,00,0009C4,0201,0003,00,00,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00000074,000205CE,00FFE000,00000000,00FFFDBA,2608
12,FF0301,00,0174B8,0442,0006,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
12,FF0302,FF,0174C0,0442,0006,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
13,FF0302,FF,0009C4,0201,0015,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205CE,00FFE000,00000000,00FFFDBA,2608
13,FF0301,00,0174B8,0442,0018,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2604
13,FF0302,FF,0174C0,0442,0018,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2618
34,FF0302,FF,0009C4,0201,0032,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205CE,00FFE000,00000000,00FFFDBA,2608
34,FF0301,00,0174B8,0442,0035,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
34,FF0302,FF,0174C0,0442,0035,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
35,FF0302,FF,0009C4,0201,0046,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205CE,00FFE000,00000000,00FFFDBA,2608
35,FF0301,00,0174B8,0442,0049,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2604
35,FF0302,FF,0174C0,0442,0049,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003608,00FF0302,00000302,00000000,00FFFDB2,2618
44,FF0302,FF,0009C4,0201,0060,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,0000360C,000205CE,00FFE000,00000000,00FFFDBA,2608
44,FF0301,00,0174B8,0442,0063,00,FF,00,00,00,00,00,00,00,00,00,0000363F,00000000,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2604
44,FF0302,FF,0174C0,0442,0063,00,FF,00,00,00,00,00,00,00,00,00,0000363F,000000FF,00000000,00003600,00FF0302,00000302,00000000,00FFFDB2,2618
44,FF0301,00,008782,0318,0072,00,FF,00,00,00,00,00,00,00,00,00,00000004,00000023,00000000,00FF0034,00008772,000080DA,00000000,00FFFDAE,2600
44,FF0304,00,008796,0318,0072,23,FF,00,00,36,0F,00,00,00,00,00,00000020,00000002,00000000,00FF0034,00FF0302,000080DA,00000000,00FFFDAE,2600
44,FF0303,00,008796,0318,0072,23,FF,00,20,36,0F,00,00,00,00,00,00000000,00000001,00000000,00FF0034,00FF0302,000080DA,00000000,00FFFDAE,2604
44,FF0302,FF,008796,0318,0072,23,FF,00,20,36,0F,00,00,00,00,00,0000003F,00000000,00000000,00FF0034,00FF0302,000080DA,00000000,00FFFDAE,2600
