frame,system,rom_label,kind,total_count,ordinal,event_id,event_name,arg0,arg1,arg2,seq_ptr_raw,ptr_res,seq_index,seq_byte,seq_source,ppu_index,ppu_ptr_raw,ppu_ptr_res
57,genesis,current_genesis,seq,48,45,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
57,genesis,current_genesis,seq,48,46,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
57,genesis,current_genesis,seq,48,47,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
57,genesis,current_genesis,seq,48,48,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
58,genesis,current_genesis,seq,52,49,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
58,genesis,current_genesis,seq,52,50,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
58,genesis,current_genesis,seq,52,51,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
58,genesis,current_genesis,seq,52,52,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
59,genesis,current_genesis,seq,56,53,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
59,genesis,current_genesis,seq,56,54,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
59,genesis,current_genesis,seq,56,55,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
59,genesis,current_genesis,seq,56,56,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
60,genesis,current_genesis,seq,60,57,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
60,genesis,current_genesis,seq,60,58,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
60,genesis,current_genesis,seq,60,59,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
60,genesis,current_genesis,seq,60,60,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
61,genesis,current_genesis,seq,64,61,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
61,genesis,current_genesis,seq,64,62,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
61,genesis,current_genesis,seq,64,63,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
61,genesis,current_genesis,seq,64,64,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
62,genesis,current_genesis,seq,68,65,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
62,genesis,current_genesis,seq,68,66,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
62,genesis,current_genesis,seq,68,67,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
62,genesis,current_genesis,seq,68,68,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
63,genesis,current_genesis,seq,72,69,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
63,genesis,current_genesis,seq,72,70,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
63,genesis,current_genesis,seq,72,71,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
63,genesis,current_genesis,seq,72,72,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
64,genesis,current_genesis,seq,76,73,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
64,genesis,current_genesis,seq,76,74,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
64,genesis,current_genesis,seq,76,75,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
64,genesis,current_genesis,seq,76,76,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
65,genesis,current_genesis,seq,80,77,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
65,genesis,current_genesis,seq,80,78,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
65,genesis,current_genesis,seq,80,79,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
65,genesis,current_genesis,seq,80,80,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
66,genesis,current_genesis,seq,84,81,04B1,BANK0_SEQ 9D37 primary fetch,0000,,,948B,000054CD,0000,0481,94B2,,,
66,genesis,current_genesis,seq,84,82,04B3,BANK0_SEQ 9DBE pulse fetch,001D,,,948B,000054CD,001D,0483,94B2,,,
66,genesis,current_genesis,seq,84,83,04B5,BANK0_SEQ 9E2C control fetch,003B,,,948B,000054CD,003B,0486,94B2,,,
66,genesis,current_genesis,seq,84,84,04B7,BANK0_SEQ 9EA7 noise fetch,004F,,,948B,000054CD,044F,044E,94B2,,,
