=== ROOM WRITE TRACE zelda_v389 ===
Frames observed: 850..1700
Final script=5 sub=0 ready=1 map=00 next=00

Region summaries:
6530 total=44 nonzero=37 unique=44 first_frame=1265 last_frame=1265
687E total=128 nonzero=8 unique=128 first_frame=887 last_frame=887
68FE total=128 nonzero=42 unique=128 first_frame=887 last_frame=887
697E total=128 nonzero=28 unique=128 first_frame=887 last_frame=888
69FE total=128 nonzero=9 unique=128 first_frame=888 last_frame=888
6A7E total=128 nonzero=0 unique=128 first_frame=888 last_frame=888
6AFE total=128 nonzero=0 unique=128 first_frame=888 last_frame=888

First events:
frame,region,addr,value,pc,script,sub,ready,map,next
887,687E,FF687E,00,018626,2,0,0,00,00
887,687E,FF687F,00,018626,2,0,0,00,00
887,687E,FF6880,00,018626,2,0,0,00,00
887,687E,FF6881,6C,018626,2,0,0,00,00
887,687E,FF6882,00,018626,2,0,0,00,00
887,687E,FF6883,00,018626,2,0,0,00,00
887,687E,FF6884,00,018626,2,0,0,00,00
887,687E,FF6885,00,018626,2,0,0,00,00
887,687E,FF6886,00,018626,2,0,0,00,00
887,687E,FF6887,00,018626,2,0,0,00,00
887,687E,FF6888,00,018626,2,0,0,00,00
887,687E,FF6889,00,018626,2,0,0,00,00
887,687E,FF688A,00,018626,2,0,0,00,00
887,687E,FF688B,00,018626,2,0,0,00,00
887,687E,FF688C,00,018626,2,0,0,00,00
887,687E,FF688D,00,018626,2,0,0,00,00
887,687E,FF688E,00,018626,2,0,0,00,00
887,687E,FF688F,00,018626,2,0,0,00,00
887,687E,FF6890,00,018626,2,0,0,00,00
887,687E,FF6891,00,018626,2,0,0,00,00
887,687E,FF6892,00,018626,2,0,0,00,00
887,687E,FF6893,00,018626,2,0,0,00,00
887,687E,FF6894,00,018626,2,0,0,00,00
887,687E,FF6895,00,018626,2,0,0,00,00
887,687E,FF6896,00,018626,2,0,0,00,00
887,687E,FF6897,00,018626,2,0,0,00,00
887,687E,FF6898,00,018626,2,0,0,00,00
887,687E,FF6899,00,018626,2,0,0,00,00
887,687E,FF689A,6C,018626,2,0,0,00,00
887,687E,FF689B,00,018626,2,0,0,00,00
887,687E,FF689C,00,018626,2,0,0,00,00
887,687E,FF689D,00,018626,2,0,0,00,00
887,687E,FF689E,00,018626,2,0,0,00,00
887,687E,FF689F,00,018626,2,0,0,00,00
887,687E,FF68A0,00,018626,2,0,0,00,00
887,687E,FF68A1,6C,018626,2,0,0,00,00
887,687E,FF68A2,00,018626,2,0,0,00,00
887,687E,FF68A3,00,018626,2,0,0,00,00
887,687E,FF68A4,00,018626,2,0,0,00,00
887,687E,FF68A5,00,018626,2,0,0,00,00
887,687E,FF68A6,00,018626,2,0,0,00,00
887,687E,FF68A7,00,018626,2,0,0,00,00
887,687E,FF68A8,00,018626,2,0,0,00,00
887,687E,FF68A9,00,018626,2,0,0,00,00
887,687E,FF68AA,00,018626,2,0,0,00,00
887,687E,FF68AB,00,018626,2,0,0,00,00
887,687E,FF68AC,00,018626,2,0,0,00,00
887,687E,FF68AD,00,018626,2,0,0,00,00
887,687E,FF68AE,00,018626,2,0,0,00,00
887,687E,FF68AF,00,018626,2,0,0,00,00
887,687E,FF68B0,00,018626,2,0,0,00,00
887,687E,FF68B1,00,018626,2,0,0,00,00
887,687E,FF68B2,00,018626,2,0,0,00,00
887,687E,FF68B3,00,018626,2,0,0,00,00
887,687E,FF68B4,00,018626,2,0,0,00,00
887,687E,FF68B5,00,018626,2,0,0,00,00
887,687E,FF68B6,00,018626,2,0,0,00,00
887,687E,FF68B7,00,018626,2,0,0,00,00
887,687E,FF68B8,00,018626,2,0,0,00,00
887,687E,FF68B9,00,018626,2,0,0,00,00
