frame,system,rom_label,kind,total_count,ordinal,event_id,event_name,arg0,arg1,arg2,seq_ptr_raw,ptr_res,seq_index,seq_byte,seq_source,ppu_index,ppu_ptr_raw,ppu_ptr_res
220,genesis,zelda_v540,ppu,49,48,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
220,genesis,zelda_v540,ppu,49,49,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
221,genesis,zelda_v540,ppu,51,50,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
221,genesis,zelda_v540,ppu,51,51,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
222,genesis,zelda_v540,ppu,53,52,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
222,genesis,zelda_v540,ppu,53,53,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
223,genesis,zelda_v540,ppu,55,54,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
223,genesis,zelda_v540,ppu,55,55,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
224,genesis,zelda_v540,ppu,57,56,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
224,genesis,zelda_v540,ppu,57,57,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
225,genesis,zelda_v540,ppu,59,58,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
225,genesis,zelda_v540,ppu,59,59,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
226,genesis,zelda_v540,ppu,61,60,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
226,genesis,zelda_v540,ppu,61,61,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
227,genesis,zelda_v540,ppu,63,62,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
227,genesis,zelda_v540,ppu,63,63,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
228,genesis,zelda_v540,ppu,65,64,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
228,genesis,zelda_v540,ppu,65,65,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
229,genesis,zelda_v540,ppu,67,66,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
229,genesis,zelda_v540,ppu,67,67,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
230,genesis,zelda_v540,ppu,69,68,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
230,genesis,zelda_v540,ppu,69,69,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
231,genesis,zelda_v540,ppu,71,70,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
231,genesis,zelda_v540,ppu,71,71,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
232,genesis,zelda_v540,ppu,73,72,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
232,genesis,zelda_v540,ppu,73,73,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
