frame,pc,trace_last,trace_seq,addr,tile_index,byte_in_tile,value,vram_addr_curr,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,trace_ppu_ptr_raw,trace_ppu_ptr_res,trace_ppu_evt_arg0,trace_ppu_evt_arg1,trace_ppu_evt_arg2,trace_ppu_rom_hi,trace_ppu_rom_lo,trace_ppu_rom_ctrl,trace_ppu_rom_data,legacy_ppu_ptr,d0,d1,d2,d3,d4,a0,a1
141,001308,0403,0162,FFC257,0025,7,24,0257,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,82D6,00003624,00000001,00000000,00000257,FFFFFFFFC0000257,00FFC000,00000302
141,001308,0403,0162,FFC258,0025,8,24,0258,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,82D7,00003624,00000001,00000000,00000258,FFFFFFFFC0000258,00FFC000,00000302
141,001308,0403,0162,FFC259,0025,9,24,0259,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,82D8,00003624,00000001,00000000,00000259,FFFFFFFFC0000259,00FFC000,00000302
141,001308,0403,0162,FFC25A,0025,10,24,025A,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,82D9,00003624,00000001,00000000,0000025A,FFFFFFFFC000025A,00FFC000,00000302
141,001308,0403,0162,FFC25B,0025,11,E3,025B,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,82DA,000036E3,00000001,00000000,0000025B,FFFFFFFFC000025B,00FFC000,00000302
141,001308,0403,0162,FFC25C,0025,12,24,025C,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,82DB,00003624,00000001,00000000,0000025C,FFFFFFFFC000025C,00FFC000,00000302
141,001308,0403,0162,FFC25D,0025,13,24,025D,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,82DC,00003624,00000001,00000000,0000025D,FFFFFFFFC000025D,00FFC000,00000302
141,001308,0403,0162,FFC25E,0025,14,24,025E,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,82DD,00003624,00000001,00000000,0000025E,FFFFFFFFC000025E,00FFC000,00000302
141,001308,0403,0162,FFC25F,0025,15,D6,025F,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,82DE,000036D6,00000001,00000000,0000025F,FFFFFFFFC000025F,00FFC000,00000302
151,001308,0403,0164,FFC250,0025,0,00,0250,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89BF,00003600,00000003,00000000,00000250,FFFFFFFFC0000250,00FFC000,00000302
151,001308,0403,0164,FFC251,0025,1,00,0251,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C0,00003600,00000003,00000000,00000251,FFFFFFFFC0000251,00FFC000,00000302
151,001308,0403,0164,FFC252,0025,2,00,0252,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C1,00003600,00000003,00000000,00000252,FFFFFFFFC0000252,00FFC000,00000302
151,001308,0403,0164,FFC253,0025,3,00,0253,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C2,00003600,00000003,00000000,00000253,FFFFFFFFC0000253,00FFC000,00000302
151,001308,0403,0164,FFC254,0025,4,00,0254,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C3,00003600,00000003,00000000,00000254,FFFFFFFFC0000254,00FFC000,00000302
151,001308,0403,0164,FFC255,0025,5,00,0255,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C4,00003600,00000003,00000000,00000255,FFFFFFFFC0000255,00FFC000,00000302
151,001308,0403,0164,FFC256,0025,6,00,0256,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C5,00003600,00000003,00000000,00000256,FFFFFFFFC0000256,00FFC000,00000302
151,001308,0403,0164,FFC257,0025,7,00,0257,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C6,00003600,00000003,00000000,00000257,FFFFFFFFC0000257,00FFC000,00000302
151,001308,0403,0164,FFC258,0025,8,00,0258,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C7,00003600,00000003,00000000,00000258,FFFFFFFFC0000258,00FFC000,00000302
151,001308,0403,0164,FFC259,0025,9,00,0259,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C8,00003600,00000003,00000000,00000259,FFFFFFFFC0000259,00FFC000,00000302
151,001308,0403,0164,FFC25A,0025,10,00,025A,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89C9,00003600,00000003,00000000,0000025A,FFFFFFFFC000025A,00FFC000,00000302
151,001308,0403,0164,FFC25B,0025,11,00,025B,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89CA,00003600,00000003,00000000,0000025B,FFFFFFFFC000025B,00FFC000,00000302
151,001308,0403,0164,FFC25C,0025,12,00,025C,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89CB,00003600,00000003,00000000,0000025C,FFFFFFFFC000025C,00FFC000,00000302
151,001308,0403,0164,FFC25D,0025,13,00,025D,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89CC,00003600,00000003,00000000,0000025D,FFFFFFFFC000025D,00FFC000,00000302
151,001308,0403,0164,FFC25E,0025,14,00,025E,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89CD,00003600,00000003,00000000,0000025E,FFFFFFFFC000025E,00FFC000,00000302
151,001308,0403,0164,FFC25F,0025,15,00,025F,00,FF,04,04,36,17,27,0302,00000000,0000,0302,8100,00,00,00,00000000,89CE,00003600,00000003,00000000,0000025F,FFFFFFFFC000025F,00FFC000,00000302
