frame,system,rom_label,kind,total_count,ordinal,event_id,event_name,arg0,arg1,arg2,seq_ptr_raw,ptr_res,seq_index,seq_byte,seq_source,ppu_index,ppu_ptr_raw,ppu_ptr_res
17,genesis,zelda_v588_autostart,ppu,2,1,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
17,genesis,zelda_v588_autostart,ppu,2,2,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
22,genesis,zelda_v588_autostart,ppu,3,3,04A9,BANK6_PPU request,0010,A869,0000,,00000000,,,,0010,A869,00000000
104,genesis,zelda_v588_autostart,ppu,5,4,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
104,genesis,zelda_v588_autostart,ppu,5,5,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
105,genesis,zelda_v588_autostart,ppu,7,6,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
105,genesis,zelda_v588_autostart,ppu,7,7,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
122,genesis,zelda_v588_autostart,ppu,9,8,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
122,genesis,zelda_v588_autostart,ppu,9,9,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
123,genesis,zelda_v588_autostart,ppu,15,10,04A9,BANK6_PPU request,0000,0302,003F,,00000000,,,,0000,0302,00000000
123,genesis,zelda_v588_autostart,ppu,15,11,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
123,genesis,zelda_v588_autostart,ppu,15,12,04A0,BANK6_PPU_LEGACY raw header,3F00,0002,2000,,00000000,,,,0000,0302,00000000
123,genesis,zelda_v588_autostart,ppu,15,13,04A1,BANK6_PPU_LEGACY literal decode,3F00,2002,0000,,00000000,,,,0000,0302,00000000
123,genesis,zelda_v588_autostart,ppu,15,14,04A3,BANK6_PPU_LEGACY palette fixup,3F00,0000,0000,,00000000,,,,0000,0302,00000000
123,genesis,zelda_v588_autostart,ppu,15,15,04A4,BANK6_PPU_LEGACY pointer advance,2200,2500,0300,,00000000,,,,0000,0302,00000000
124,genesis,zelda_v588_autostart,ppu,17,16,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
124,genesis,zelda_v588_autostart,ppu,17,17,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
151,genesis,zelda_v588_autostart,ppu,19,18,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
151,genesis,zelda_v588_autostart,ppu,19,19,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
152,genesis,zelda_v588_autostart,ppu,21,20,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
152,genesis,zelda_v588_autostart,ppu,21,21,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
190,genesis,zelda_v588_autostart,ppu,22,22,04A9,BANK6_PPU request,0010,A869,0000,,00000000,,,,0010,A869,00000000
202,genesis,zelda_v588_autostart,ppu,24,23,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
202,genesis,zelda_v588_autostart,ppu,24,24,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
203,genesis,zelda_v588_autostart,ppu,26,25,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
203,genesis,zelda_v588_autostart,ppu,26,26,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
204,genesis,zelda_v588_autostart,ppu,28,27,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
204,genesis,zelda_v588_autostart,ppu,28,28,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
205,genesis,zelda_v588_autostart,ppu,30,29,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
205,genesis,zelda_v588_autostart,ppu,30,30,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
206,genesis,zelda_v588_autostart,ppu,32,31,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
206,genesis,zelda_v588_autostart,ppu,32,32,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
207,genesis,zelda_v588_autostart,ppu,34,33,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
207,genesis,zelda_v588_autostart,ppu,34,34,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
208,genesis,zelda_v588_autostart,ppu,36,35,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
208,genesis,zelda_v588_autostart,ppu,36,36,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
214,genesis,zelda_v588_autostart,ppu,40,37,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
214,genesis,zelda_v588_autostart,ppu,40,38,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
214,genesis,zelda_v588_autostart,ppu,40,39,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
214,genesis,zelda_v588_autostart,ppu,40,40,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
215,genesis,zelda_v588_autostart,ppu,42,41,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
215,genesis,zelda_v588_autostart,ppu,42,42,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
216,genesis,zelda_v588_autostart,ppu,44,43,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
216,genesis,zelda_v588_autostart,ppu,44,44,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
217,genesis,zelda_v588_autostart,ppu,46,45,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
217,genesis,zelda_v588_autostart,ppu,46,46,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
218,genesis,zelda_v588_autostart,ppu,48,47,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
218,genesis,zelda_v588_autostart,ppu,48,48,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
219,genesis,zelda_v588_autostart,ppu,50,49,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
219,genesis,zelda_v588_autostart,ppu,50,50,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
220,genesis,zelda_v588_autostart,ppu,52,51,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
220,genesis,zelda_v588_autostart,ppu,52,52,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
221,genesis,zelda_v588_autostart,ppu,54,53,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
221,genesis,zelda_v588_autostart,ppu,54,54,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
222,genesis,zelda_v588_autostart,ppu,56,55,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
222,genesis,zelda_v588_autostart,ppu,56,56,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
223,genesis,zelda_v588_autostart,ppu,58,57,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
223,genesis,zelda_v588_autostart,ppu,58,58,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
224,genesis,zelda_v588_autostart,ppu,60,59,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
224,genesis,zelda_v588_autostart,ppu,60,60,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
225,genesis,zelda_v588_autostart,ppu,62,61,04A9,BANK6_PPU request,0000,0302,00FF,,00000000,,,,0000,0302,00000000
225,genesis,zelda_v588_autostart,ppu,62,62,04A8,BANK6_PPU fallback request,0000,0302,8100,,00000000,,,,0000,0302,00000000
