frame,addr,value,pc,trace_last,trace_seq,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,screen_ready,ram_script,ram_subscript,ppu_load_index,d0,d1,d2,d3,a0,a1,a2,a7,sr
12,FF0302,00,0009C4,0201,0003,00,00,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00000074,000205D8,00FFE000,00000000,00FFFDBA,2608
12,FF0301,00,0174BC,0441,0007,00,FF,00,00,00,00,00,00,00,00,00,0000043F,00000000,000000FF,00003600,00017368,00FF0303,00000000,00FFFDB2,2604
12,FF0302,FF,0174C4,0441,0007,00,FF,00,00,00,00,00,00,00,00,00,0000043F,000000FF,000000FF,00003600,00017368,00FF0303,00000000,00FFFDB2,2618
18,FF0302,FF,0009C4,0201,0016,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00000074,000205D8,00FFE000,00000000,00FFFDBA,2608
18,FF0301,00,0174BC,0441,001A,00,FF,00,00,00,00,00,00,00,00,00,0000043F,00000000,000000FF,00003600,00017368,00FF0303,00000000,00FFFDB2,2604
18,FF0302,FF,0174C4,0441,001A,00,FF,00,00,00,00,00,00,00,00,00,0000043F,000000FF,000000FF,00003600,00017368,00FF0303,00000000,00FFFDB2,2618
54,FF0302,FF,0009C4,0201,0034,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00000074,000205D8,00FFE000,00000000,00FFFDBA,2608
54,FF0301,00,0174BC,0441,0038,00,FF,00,00,00,00,00,00,00,00,00,0000043F,00000000,000000FF,00003604,00017368,00FF0303,00000000,00FFFDB2,2604
54,FF0302,FF,0174C4,0441,0038,00,FF,00,00,00,00,00,00,00,00,00,0000043F,000000FF,000000FF,00003604,00017368,00FF0303,00000000,00FFFDB2,2618
60,FF0302,FF,0009C4,0201,0049,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00000074,000205D8,00FFE000,00000000,00FFFDBA,2608
60,FF0301,00,0174BC,0441,004D,00,FF,00,00,00,00,00,00,00,00,00,0000043F,00000000,000000FF,00003600,00017368,00FF0303,00000000,00FFFDB2,2604
60,FF0302,FF,0174C4,0441,004D,00,FF,00,00,00,00,00,00,00,00,00,0000043F,000000FF,000000FF,00003600,00017368,00FF0303,00000000,00FFFDB2,2618
75,FF0302,FF,0009C4,0201,0064,00,FF,00,00,00,00,00,00,00,00,00,00000201,00000000,00000000,00000074,000205D8,00FFE000,00000000,00FFFDBA,2608
75,FF0301,00,0174BC,0441,0068,00,FF,00,00,00,00,00,00,00,00,00,0000043F,00000000,000000FF,00003600,00017368,00FF0303,00000000,00FFFDB2,2604
75,FF0302,FF,0174C4,0441,0068,00,FF,00,00,00,00,00,00,00,00,00,0000043F,000000FF,000000FF,00003600,00017368,00FF0303,00000000,00FFFDB2,2618
81,FF0301,00,008786,0318,0077,00,FF,00,00,00,00,00,00,00,00,00,00000004,00000023,00000000,00FF0034,00008776,000080DE,00000000,00FFFDAE,2600
81,FF0304,00,00879A,0318,0077,23,FF,00,00,36,0F,00,00,00,00,00,00000020,00000002,00000000,00FF0034,00FF0302,000080DE,00000000,00FFFDAE,2600
81,FF0303,00,00879A,0318,0077,23,FF,00,20,36,0F,00,00,00,00,00,00000000,00000001,00000000,00FF0034,00FF0302,000080DE,00000000,00FFFDAE,2604
81,FF0302,FF,00879A,0318,0077,23,FF,00,20,36,0F,00,00,00,00,00,0000003F,00000000,00000000,00FF0034,00FF0302,000080DE,00000000,00FFFDAE,2600
