=== FRONTEND PROBE zelda_v423 ===
Validating title -> file select -> name-entry/gameplay branch with ROM autostarts disabled.

state frame=185 ready=0 script=3 sub=8 ppu=0x00 frm=27 slot=0 slot_active=[00,00,00,01,01] btn=[FF,FF] spr=[00,00] trace=[0318,03B0] phase=wait_title_ready
state frame=187 ready=1 script=3 sub=0 ppu=0x00 frm=27 slot=0 slot_active=[00,00,00,01,01] btn=[FF,FF] spr=[00,00] trace=[0403,03B9] phase=wait_title_ready
heartbeat frame=240 ready=1 script=3 sub=0 ppu=0x00 frm=76 slot=0 slot_active=[00,00,00,01,01] btn=[FF,FF] spr=[00,00] trace=[0203,0687] phase=wait_title_ready
state frame=267 ready=0 script=4 sub=0 ppu=0x00 frm=103 slot=0 slot_active=[00,00,00,01,01] btn=[FF,FF] spr=[00,00] trace=[0203,0815] phase=wait_title_ready
state frame=268 ready=1 script=4 sub=0 ppu=0x00 frm=104 slot=0 slot_active=[00,F8,00,01,01] btn=[FF,FF] spr=[48,4C] trace=[0203,0833] phase=wait_title_ready
state frame=269 ready=0 script=5 sub=0 ppu=0x00 frm=105 slot=0 slot_active=[00,F8,00,01,01] btn=[FF,FF] spr=[48,4C] trace=[0203,084B] phase=wait_title_ready
state frame=270 ready=1 script=5 sub=0 ppu=0x7A frm=106 slot=0 slot_active=[00,F8,00,01,01] btn=[FF,FF] spr=[48,4C] trace=[0203,085D] phase=wait_title_ready
state frame=271 ready=1 script=5 sub=0 ppu=0x00 frm=107 slot=0 slot_active=[00,F8,00,01,01] btn=[FF,FF] spr=[48,4C] trace=[0203,0871] phase=wait_title_ready
heartbeat frame=360 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=480 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=600 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=720 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=840 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=960 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=1080 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=1200 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=1320 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=1440 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=1560 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=1680 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=1800 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=1920 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=2040 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=2160 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=2280 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
heartbeat frame=2400 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready

=== SUMMARY ===
final frame=2400 ready=1 script=5 sub=0 ppu=0x00 frm=109 slot=0 slot_active=[00,F8,00,01,01] btn=[00,00] spr=[48,4C] trace=[0318,088D] phase=wait_title_ready
final_phase=wait_title_ready
