=== SCRIPT3+ DIAGNOSTICS zelda_v394 ===
Addresses: ready=FF0011 script=FF0012 sub=FF0013 ppu_idx=FF0014 007C=FF007C timer=FF0028
Handler: ready=0 -> PRIMARY; ready!=0 -> SECONDARY

Frame | Scr | Sub | Ready | PpuIdx | 007C | 007D | Rendr | Timer | Trace  | PC     | Crash           | Notes
 1258 |   3 |   2 |     0 | 0x18   |    0 |    0 |     1 |     0 | 0x0203 | 0008F0 | 0000/0000/00000000 | SUB 1->2; PPU_IDX 0x00->0x18
 1259 |   3 |   3 |     0 | 0x18   |    0 |    0 |     1 |     0 | 0x0203 | 0008DA | 0000/0000/00000000 | SUB 2->3
 1260 |   3 |   4 |     0 | 0x00   |    0 |    0 |     1 |     0 | 0x0203 | 000916 | 0000/0000/00000000 | SUB 3->4; PPU_IDX 0x18->0x00
 1261 |   3 |   5 |     0 | 0x00   |    0 |    0 |     1 |     0 | 0x0203 | 000B7C | 0000/0000/00000000 | SUB 4->5
 1262 |   3 |   6 |     0 | 0x0E   |    0 |    0 |     1 |     0 | 0x0203 | 0012C6 | 0000/0000/00000000 | SUB 5->6; PPU_IDX 0x00->0x0E
 1263 |   3 |   7 |     0 | 0x44   |    0 |    0 |     1 |     0 | 0x0203 | 00090E | 0000/0000/00000000 | SUB 6->7; PPU_IDX 0x0E->0x44
 1264 |   3 |   8 |     0 | 0x0C   |    0 |    0 |     1 |     0 | 0x0203 | 0008EA | 0000/0000/00000000 | SUB 7->8; PPU_IDX 0x44->0x0C
 1265 |   3 |   0 |     1 | 0x00   |   16 |   17 |     0 |     0 | 0x0203 | 000912 | 0000/0000/00000000 | SUB 8->0; READY 0->1; PPU_IDX 0x0C->0x00; 007C 0->16; RENDER 1->0
 1266 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     5 | 0x0318 | 000E84 | 0000/0000/00000000 | 007C 16->15
 1271 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     4 | 0x0203 | 0008DA | 0000/0000/00000000 | 
 1272 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     3 | 0x0203 | 000EAE | 0000/0000/00000000 | 
 1273 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0203 | 000EC4 | 0000/0000/00000000 | 
 1274 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | 
 1308 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1368 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1428 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1488 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1548 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1608 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1668 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1728 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1788 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1848 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1908 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 1968 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2028 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2088 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2148 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2208 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2268 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2328 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2388 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2448 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2508 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2568 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2628 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2688 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2748 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2808 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2868 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2928 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 2988 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3048 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3108 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3168 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3228 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3288 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3348 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3408 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3468 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3528 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3588 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3648 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3708 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3768 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3828 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3888 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 3948 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 4008 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 4068 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 4128 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 4188 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat
 4248 |   3 |   0 |     1 | 0x00   |   15 |   18 |     0 |     2 | 0x0202 | 01A6B4 | 0000/0000/00000000 | heartbeat

*** STUCK: script=3 sub=0 for 3001 frames (ready=1 ppu=0x00 007C=15 timer=2 trace=0x0202 pc=01A6B4 crash=0000/0000/00000000)
   -> Early script-3 stall: check PPU request routing / legacy termination

=== SUMMARY ===
Final: script=3 sub=0 ready=1 ppu_idx=0x00 007C=15 timer=2 trace=0x0202 crash=0000/0000/00000000
Total frames: 4266
Max stall: 3001 frames at script=3 sub=0
Script=3 entered at frame 889, spent 3378 frames inside
