=== SCRIPT3+ DIAGNOSTICS zelda_v395 ===
Addresses: ready=FF0011 script=FF0012 sub=FF0013 ppu_idx=FF0014 007C=FF007C timer=FF0028
Handler: ready=0 -> PRIMARY; ready!=0 -> SECONDARY

Frame | Scr | Sub | Ready | PpuIdx | 007C | 007D | Rendr | Timer | Trace  | PC     | Crash           | Notes
 1280 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     5 | 0x0203 | 000C94 | 0000/0000/00000000 | 007C 14->13
 1281 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     4 | 0x0203 | 000C90 | 0000/0000/00000000 | 
 1282 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     3 | 0x0203 | 0008EA | 0000/0000/00000000 | 
 1283 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     2 | 0x0203 | 0008FC | 0000/0000/00000000 | 
 1284 |   3 |   0 |     1 | 0x00   |   13 |   20 |     0 |     1 | 0x0203 | 000B84 | 0000/0000/00000000 | 
 1285 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     5 | 0x0203 | 0012C0 | 0000/0000/00000000 | 007C 13->12
 1286 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     4 | 0x0203 | 0012C6 | 0000/0000/00000000 | 
 1287 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     3 | 0x0203 | 000904 | 0000/0000/00000000 | 
 1288 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     2 | 0x0203 | 000C12 | 0000/0000/00000000 | 
 1289 |   3 |   0 |     1 | 0x00   |   12 |   21 |     0 |     1 | 0x0203 | 0008DA | 0000/0000/00000000 | 
 1290 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     5 | 0x0203 | 000B86 | 0000/0000/00000000 | 007C 12->11
 1291 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     4 | 0x0203 | 00090E | 0000/0000/00000000 | 
 1292 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     3 | 0x0203 | 000B94 | 0000/0000/00000000 | 
 1293 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     2 | 0x0203 | 000C0A | 0000/0000/00000000 | 
 1294 |   3 |   0 |     1 | 0x00   |   11 |   22 |     0 |     1 | 0x0203 | 0008DA | 0000/0000/00000000 | 
 1295 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     5 | 0x0203 | 0012C0 | 0000/0000/00000000 | 007C 11->10
 1296 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     4 | 0x0203 | 000916 | 0000/0000/00000000 | 
 1297 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     3 | 0x0203 | 000C04 | 0000/0000/00000000 | 
 1298 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     2 | 0x0203 | 0012C6 | 0000/0000/00000000 | 
 1299 |   3 |   0 |     1 | 0x00   |   10 |   23 |     0 |     1 | 0x0203 | 000C1C | 0000/0000/00000000 | 
 1300 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     5 | 0x0203 | 000C8E | 0000/0000/00000000 | 007C 10->9
 1301 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     4 | 0x0203 | 00090A | 0000/0000/00000000 | 
 1302 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     3 | 0x0203 | 000B94 | 0000/0000/00000000 | 
 1303 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     2 | 0x0203 | 000C0A | 0000/0000/00000000 | 
 1304 |   3 |   0 |     1 | 0x00   |    9 |   24 |     0 |     1 | 0x0203 | 0012BE | 0000/0000/00000000 | 
 1305 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     5 | 0x0203 | 0012C4 | 0000/0000/00000000 | 007C 9->8
 1306 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     4 | 0x0203 | 0012C4 | 0000/0000/00000000 | 
 1307 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     3 | 0x0203 | 000904 | 0000/0000/00000000 | 
 1308 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     2 | 0x0203 | 000C12 | 0000/0000/00000000 | heartbeat
 1309 |   3 |   0 |     1 | 0x00   |    8 |   25 |     0 |     1 | 0x0203 | 0008DA | 0000/0000/00000000 | 
 1310 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     5 | 0x0203 | 000B84 | 0000/0000/00000000 | 007C 8->7
 1311 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     4 | 0x0203 | 000916 | 0000/0000/00000000 | 
 1312 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     3 | 0x0203 | 000C0E | 0000/0000/00000000 | 
 1313 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     2 | 0x0203 | 0008DA | 0000/0000/00000000 | 
 1314 |   3 |   0 |     1 | 0x00   |    7 |   26 |     0 |     1 | 0x0203 | 000C50 | 0000/0000/00000000 | 
 1315 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     5 | 0x0203 | 000B76 | 0000/0000/00000000 | 007C 7->6
 1316 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     4 | 0x0203 | 000B86 | 0000/0000/00000000 | 
 1317 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     3 | 0x0203 | 000900 | 0000/0000/00000000 | 
 1318 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     2 | 0x0203 | 000BF6 | 0000/0000/00000000 | 
 1319 |   3 |   0 |     1 | 0x00   |    6 |   27 |     0 |     1 | 0x0203 | 000B94 | 0000/0000/00000000 | 
